Name,Address,Phone,Distance (miles),Rating,Reviews,Place ID
"Pou Veterinary Group","11549 North Kendall Drive, Miami","(305) 598-1425",0.65 miles,4.4,287,ChIJOYL7l9zA2YgRewm5gn_1nq4
"Kendall Animal Clinic","10521 North Kendall Drive # E101, Miami","(305) 274-6434",0.65 miles,5,42,ChIJj5jKmjLH2YgRj5rg0jzWSEc
"Pet Dermatology of South Florida","10521 North Kendall Drive #101, Miami","(305) 274-2114",0.67 miles,4.7,72,ChIJM0PjijLH2YgRW78jEC3rlXs
"Crossroads Animal Hospital","11622 North Kendall Drive, Miami","(305) 279-2000",0.78 miles,4.6,133,ChIJqYDildzA2YgRp036I26ef3U
"Veterinary Medical Center","11774 Southwest 88th Street, Miami","(305) 273-8100",0.94 miles,4.9,88,ChIJqb7ciKjB2YgRrNewEX6SLp4
"Kupkee Ian Bruce DVM","10710 Southwest 113th Place, Miami","(305) 595-1450",0.98 miles,3.7,3,ChIJHc7X8SXB2YgRjiib0lqbrXA
"Sabal Chase Animal Clinic","10710 Southwest 113th Place, Miami","(305) 701-1941",1.00 miles,4.7,193,ChIJHc7X8SXB2YgRgCg6BaHusik
"Banfield Pet Hospital","11784 Southwest 104th Street, Miami","(305) 279-4118",1.16 miles,4.3,231,ChIJ2weVnyHB2YgRkFtKmjA7G30
"Vetco Vaccination Clinic","12014 Southwest 88th Street, Miami","(305) 412-0244",1.25 miles,3.7,6,ChIJsYmw8ebA2YgRWRLxAskSNIg
"St Francis Veterinary Clinic","10855 Southwest 72nd Street, Miami","(305) 336-0443",1.33 miles,4.9,85,ChIJA-yIOQDB2YgR3ojM1AUIfOs
"Bustillo Animal Hospital","7154 Southwest 117th Avenue, Miami","(305) 279-5858",1.52 miles,4.6,37,ChIJUfJCzLjA2YgR0yCTB5zBCe4
"Veterinario Miami","7154 Southwest 117th Avenue, Miami","(305) 279-5858",1.52 miles,4,6,ChIJB65BzLjA2YgRjK4CPPkeBnI
"Kendall Animal Medical Center","12586 Southwest 88th Street, Miami","(786) 616-8830",1.69 miles,4.6,727,ChIJL0vKteTA2YgRRBjeAVbGGzc
"At Home Veterinary Care","Miami","(305) 270-0484",1.72 miles,N/A,0,ChIJVVVVVcXG2YgRZYYAKM9f0Cs
"Dr James H Block","9933 Southwest 72nd Street, Miami","(305) 279-2323",1.75 miles,4.6,10,ChIJ-UZbJ0bH2YgRunE-z_55OxI
"VCA Knowles Snapper Creek Animal Hospital","9933 Sunset Drive, Miami","(305) 279-2323",1.75 miles,4.1,412,ChIJ-UZbJ0bH2YgRf8w38bgdqVU
"A Country Cat House","12006 Southwest 64th Street, Miami","(305) 279-9770",2.08 miles,4.8,95,ChIJ4XaPN5bA2YgRv0mI7APn_Ok
"Miller Pets Animal Hospital","5629 Southwest 107th Avenue, Miami","(305) 274-9800",2.28 miles,4.4,190,ChIJlznyS5XB2YgRdoP8vg9HeUM
"Miller Pets Animal Hospital: Dr. Brunet","5629 Southwest 107th Avenue, Miami","(305) 274-9800",2.28 miles,4.7,13,ChIJkSsJt6zA2YgRdlM2b2J0Bng
"Links of Love Veterinary Clinic","13033 Southwest 112th Street, Miami","(305) 338-3620",2.52 miles,4.9,79,ChIJCX5l4QjB2YgRnXOR8kpkm_Y
"St Francis Vet Mobil","11390 Southwest 87th Avenue, Miami","(305) 962-4280",2.58 miles,4.7,51,ChIJcV00aKfH2YgR0V5El5KFRRo
"Sunset Animal Clinic | Miami FL","8776 Southwest 72nd Street, Miami","(786) 821-0607",2.63 miles,4.6,206,ChIJs80rd27H2YgR6XCGnKv7XzI
"Khuly Patricia DVM","8776 Southwest 72nd Street, Miami","(305) 271-4011",2.63 miles,5,3,ChIJs80rd27H2YgR4Fn3qSlITWo
"Pet Med Animal Clinic","12358 Southwest 127th Avenue, Miami","(786) 250-4314",2.66 miles,4.3,60,ChIJI9HIynLB2YgRugiUYpFhFaI
"B Perez Animal Services Corp","11920 Southwest 51st Street, Miami","(786) 693-3548",2.70 miles,N/A,0,ChIJIUqylPfB2YgRs6AnmxnzJ0Q
"Banfield Pet Hospital","13644 Southwest 88th Street, Miami","(305) 380-6681",2.72 miles,3.9,199,ChIJa64rEE7A2YgRmC36dZzU40I
"Miami Veterinary Specialists","8601 Sunset Drive, Miami","(305) 665-2820",2.79 miles,3.4,888,ChIJl0wcD27H2YgRq1bDoxcOzZQ
"Pet 911 Clinics","8601 Sunset Drive, Miami","(855) 573-8911",2.79 miles,N/A,0,ChIJTyhGDm7H2YgR3W4ULx96UV8
"Veterinaria Emergencias pisos","8601 Sunset Drive, Miami","N/A",2.79 miles,1,3,ChIJTyhGDm7H2YgRqqrwfKVA92o
"The Pet Stop Clinic","12079 Southwest 131st Avenue, Miami","(877) 704-3893",2.82 miles,4.4,186,ChIJOdcR3WfB2YgROcoGckOitXU
"Miller Road Animal Clinic","9328 Southwest 56th Street, Miami","(305) 279-1646",2.82 miles,4.5,201,ChIJz68FQV7H2YgRhFUfI_34Mn0
