Name,Address,Phone,Distance (miles),Rating,Reviews,Place ID
"Carol Mertens, DVM","41180 Fremont Boulevard, Fremont","N/A",0.65 miles,5,1,ChIJ5atEr9LAj4ARQX2cXgk-jMg
"Irvington Pet Hospital","41180 Fremont Boulevard, Fremont","N/A",0.65 miles,4.1,79,ChIJ5atEr9LAj4ARFR0DFOmYSKc
"Aborn Pet Hospital","40951 Grimmer Boulevard, Fremont","N/A",0.96 miles,4.2,208,ChIJVyMQ7MnAj4ARIwhxvvt66x4
"Beacon Veterinary Specialists","1618 Washington Boulevard, Fremont","N/A",1.07 miles,4,384,ChIJXSfPjtHGj4ARnmt9BOqhrIM
"Smith Patricia J DVM","1612 Washington Boulevard, Fremont","N/A",1.09 miles,N/A,0,ChIJFbcm49HGj4ARJFmv5GRCYAE
"Animal Eye Care","1612 Washington Boulevard, Fremont","N/A",1.09 miles,4.4,69,ChIJFbcm49HGj4AR6c38ZQ1kIUM
"Veterinary Orthopedic Surgery Services","1618 Washington Boulevard, Fremont","N/A",1.09 miles,1,1,ChIJb5nZjtHGj4ARj5wOl0Stg4g
"Rosato Jeanne DVM","1500 Washington Boulevard, Fremont","N/A",1.14 miles,5,3,ChIJtdj8HM7Gj4ARova82Qjp09E
"VCA Mission San Jose Animal Hospital","1500 Washington Boulevard, Fremont","N/A",1.15 miles,4.2,94,ChIJtdj8HM7Gj4AR6G09r2YXFNQ
"Banfield Pet Hospital","39410 Argonaut Way, Fremont","N/A",1.77 miles,3.7,137,ChIJJ6qM3pjAj4ARaGI6MRLI9Ls
"Fremont Pet Hospital","43391 Ellsworth Street, Fremont","N/A",1.83 miles,4.7,284,ChIJKQLOfrfGj4ARWecJc4UXLAs
"ACE Animal Hospital","3750 Mowry Avenue, Fremont","N/A",1.91 miles,3.9,235,ChIJUVpjVZvAj4ARspUANsIr-Co
